rowid,FiscalFundId,FundName,SierraFundCode,SierraFundCodeNumeric,SierraFundCodeSpaces,GLKey,GLObj
1,1,Abell Bk Firm Gen,ABEBFGEN,4,ABE B F GEN,81900520,5410
2,2,ATLA AV Firm AND,ANDAFAND,5,AND A F AND,20102202,5430
3,3,ATLA AV Firm MTW,ANDAFMTW,6,AND A F MTW,20152252,5430
4,4,ATLA Bk Firm AND,ANDBFAND,7,AND B F AND,20102202,5410
5,5,ATLA Bk Firm MTW,ANDBFMTW,8,AND B F MTW,20152252,5410
6,6,Dwyer Bk Firm Out,DWYBFOUT,9,DWY B F OUT,86300520,5410
7,7,Feld Bk Firm Adult,FELBFADU,10,FEL B F ADU,81200520,5410
8,8,Feld Bk Firm Juv,FELBFJUV,11,FEL B F JUV,81200520,5410
9,9,Feld Bk Recur Adult,FELBRADU,12,FEL B R ADU,81200520,5410
10,10,Friedman AV F Out,FRIAFOUT,13,FRI A F OUT,,5430
11,11,Gen AV Firm Admin,GENAFADM,14,GEN A F ADM,10000520,5430
12,12,Gen AV Firm CD Adu,GENAFADU,15,GEN A F ADU,10000520,5430
13,13,Gen AV Firm CLC,GENAFCLC,16,GEN A F CLC,10000520,5430
14,14,Gen AV Firm CD Tn,GENAFCLT,17,GEN A F CLT,10000520,5430
15,15,Gen AV Firm Geneal,GENAFGEN,18,GEN A F GEN,10000520,5430
16,16,Gen AV Firm CD Juv,GENAFJUV,19,GEN A F JUV,10000520,5430
17,17,Gen AV Firm Out,GENAFOUT,20,GEN A F OUT,10000520,5430
18,18,Gen AV Firm Pop Lib,GENAFPOP,21,GEN A F POP,10000520,5430
19,19,Gen AV Firm Tn Cen,GENAFTEE,22,GEN A F TEE,10000520,5430
20,20,Gen AV Recur Adu,GENARADU,23,GEN A R ADU,10000520,5430
21,21,Gen AV Recur Tn,GENARCLT,24,GEN A R CLT,10000520,5430
22,22,Gen AV Recur Juv,GENARJUV,25,GEN A R JUV,10000520,5430
23,23,Gen Bk Firm Adm,GENBFADM,26,GEN B F ADM,10000520,5410
24,24,Gen Bk Firm Adu,GENBFADU,27,GEN B F ADU,10000520,5410
25,25,Gen Bk Firm CLC,GENBFCLC,28,GEN B F CLC,10000520,5410
26,26,Gen Bk Firm CD Tn,GENBFCLT,29,GEN B F CLT,10000520,5410
27,27,Gen Bk Firm Geneal,GENBFGEN,30,GEN B F GEN,10000520,5410
28,28,Gen Bk Firm IRF,GENBFIRF,31,GEN B F IRF,10000520,5410
29,29,Gen Bk Firm Juv,GENBFJUV,32,GEN B F JUV,10000520,5410
30,30,Gen Bk Firm Mag,GENBFMAG,33,GEN B F MAG,10000520,5410
31,31,Gen Bk Firm Out,GENBFOUT,34,GEN B F OUT,10000520,5410
32,32,Gen Bk Firm Pop Lib,GENBFPOP,35,GEN B F POP,10000520,5410
33,33,Gen Bk Firm Tn Cen,GENBFTEE,36,GEN B F TEE,10000520,5410
34,34,Gen Bk Recur Adm,GENBRADM,37,GEN B R ADM,10000520,5410
35,35,Gen Bk Recur Adu,GENBRADU,38,GEN B R ADU,10000520,5410
36,36,Gen Bk Recur CLC,GENBRCLC,39,GEN B R CLC,10000520,5410
37,37,Gen Bk Recur CD Tn,GENBRCLT,40,GEN B R CLT,10000520,5410
38,38,Gen Bk Recur Geneal,GENBRGEN,41,GEN B R GEN,10000520,5410
39,39,Gen Bk Recur IRF,GENBRIRF,42,GEN B R IRF,10000520,5410
40,40,Gen Bk Recur Juv,GENBRJUV,43,GEN B R JUV,10000520,5410
41,41,Gen Bk Recur Mag,GENBRMAG,44,GEN B R MAG,10000520,5410
42,42,Gen Bk Recur Pop,GENBRPOP,45,GEN B R POP,10000520,5410
43,43,Gen Elec Firm DBK,GENEFDBK,46,GEN E F DBK,10000520,5450
44,44,Gen Elec Firm EBK,GENEFEBK,47,GEN E F EBK,10000520,5450
45,45,Gen Elec Firm WEB,GENEFWEB,48,GEN E F WEB,10000520,5450
46,46,Gen Elec Recur DBK,GENERDBK,49,GEN E R DBK,10000520,5450
47,47,Gen Elec Recur MusIC,GENERDMU,50,GEN E R DMU,10000520,5450
48,48,Gen Elec Recur EBK,GENEREBK,51,GEN E R EBK,10000520,5450
49,49,Gen Elec Recur WEB,GENERWEB,52,GEN E R WEB,10000520,5450
50,50,Gen Per Firm Adu,GENPFADU,53,GEN P F ADU,10000520,5420
51,51,Gen Per Recur Adu,GENPRADU,54,GEN P R ADU,10000520,5420
52,52,Gift Bk Firm Adu,GIFBFADU,55,GIF B F ADU,29900520,5410
53,53,Gift Bk Firm Tn,GIFBFCLT,56,GIF B F CLT,29900520,5410
54,54,Gift Bk Firm Juv,GIFBFJUV,57,GIF B F JUV,29900520,5410
55,55,Glueck Bk Firm IRF,GLUBFIRF,58,GLU B F IRF,81600520,5410
56,56,Goldsmith Bk Firm J,GOLBFCLC,59,GOL B F CLC,81700520,5410
57,57,Greider Bk Firm WYO,GREBFWYO,60,GRE B F WYO,81800520,5410
58,58,Howard Bk Firm Adu,HOWBFADU,61,HOW B F ADU,87500520,5410
59,59,Howard Bk Firm Juv,HOWBFJUV,62,HOW B F JUV,87500520,5410
60,60,Lenke AV Firm Adu,LENAFADU,63,LEN A F ADU,83300520,5430
61,61,Lenke Bk Firm IRef,LENBFIRF,64,LEN B F IRF,83300520,5410
62,62,Sackett Bk Firm Gen,SACBFGEN,65,SAC B F GEN,86000520,5410
63,63,Sackett Bk Firm IRF,SACBFIRF,66,SAC B F IRF,86000520,5410
64,64,Shipping/Service,SHP,67,SHP,10000520,5410
65,65,Stern AV Firm Adu,STEAFADU,68,STE A F ADU,86500520,5430
66,66,Stern Bk Firm Adu,STEBFADU,69,STE B F ADU,86500520,5410
67,67,Th&Rel Bk Firm Adu,TARBFADU,70,TAR B F ADU,87200520,5410
68,68,Abell Bk Firm Gen,ABEBFGEN,1,ABE B F GEN,81900520,5410
69,69,ATLA AV Firm AND,ANDAFAND,2,AND A F AND,20102202,5430
70,70,MLK Coalition ADULT,KINBFADU,71,KIN B F ADU,83200520,5410
71,71,MLK COALITION JUV,KINBFJUV,72,KIN B F JUV,83200520,5410
72,72,Vendor Processing,PRO,,PRO,10000520,5210
73,73,Trager Bk Firm,trgbfadu,,TRG B F ADU,87400520,5410
74,74,Huenefeld Bk Firm,huebfadu,,HUE B F ADU,82500520,5410
75,75,Gen Bk Firm Fiction,genbffic,,GEN B F FIC,10000520,5410
76,76,Gen Bk Recur Fiction,genbrfic,,GEN B R FIC,10000520,5410
77,77,Lewis Fund,LEWBFADU,,LEW B F ADU,83400520,5410
78,78,S.C.O.R.E. Schild,SCOBFADU,,SCO B F ADU,85900520,5410
79,79,Library Materials,LMEBFADU,,LME B F ADU,82700520,5410
80,80,Feld Elec Recur EBook,FELEREBK,,FEL E R EBK,81200520,5450
81,81,Meister Bk Firm Juv,MEIBFJUV,,MEI B F JUV,83900520,5410
82,82,Striker Bk Firm Adu,STKBFADU,,STK B F ADU,87000520,5410
83,83,Gen Elec Recur Periodicals,GENERPER,,GEN E R PER,10000520,5450
84,84,Gen AV Recur Video & Music,GENARVAM,,GEN A R VAM,10000520,5430
85,85,Gen AV Firm Video & Music,GENAFVAM,,GEN A F VAM,10000520,5430
86,86,Gen Bk Firm X Large Print,GENBFXLP,,GEN B F XLP,10000520,5410
87,87,Gen Bk Firm X Non Fic,GENBFXNF,,GEN B F XNF,10000520,5410
88,88,Plaut Bk Firm Adu,PLABFADU,,PLA B F ADU,85100520,5410
89,89,Hattendorf Bk Firm Juv,HATBFJUV,,HAT B F JUV,85700520,5410
90,90,Hatfield Bk Firm Adult,htfbfadu,,HTF B F ADU,82100520,5410
91,91,OBrien Bk Firm AND,obrbfand,,OBR B F AND,84700520,5410
